# Position (m),Temperature (C),Heat_Flux (W/m2)
0.000000000000000000e+00,2.000000000000000000e+01,-1.253313308585763443e+05
5.000000000000000104e-03,3.253313308585763508e+01,-1.253313187345134502e+05
1.000000000000000021e-02,4.506626374690269188e+01,-1.253312911058611935e+05
1.499999999999999944e-02,5.759939130702987597e+01,-1.253312558230175637e+05
2.000000000000000042e-02,7.013251491150620609e+01,-1.253312108777751564e+05
2.500000000000000139e-02,8.266563348258490862e+01,-1.253311537667254743e+05
2.999999999999999889e-02,9.519874566485130174e+01,-1.253310813776838768e+05
3.500000000000000333e-02,1.077318497581216832e+02,-1.253309898522533622e+05
4.000000000000000083e-02,1.202649436353019752e+02,-1.253308744200455694e+05
4.499999999999999833e-02,1.327980246421307982e+02,-1.253307291993559775e+05
5.000000000000000278e-02,1.453310894751731723e+02,-1.253305469582852529e+05
5.500000000000000028e-02,1.578641340337878489e+02,-1.253303188293925632e+05
5.999999999999999778e-02,1.703971532410516829e+02,-1.253300339699639153e+05
6.500000000000000222e-02,1.829301408277806331e+02,-1.253296791588802298e+05
7.000000000000000666e-02,1.954630890728277279e+02,-1.253292383198586758e+05
7.499999999999999722e-02,2.079959884917523709e+02,-1.253286919595332438e+05
8.000000000000000167e-02,2.205288274647343769e+02,-1.253280165074360702e+05
8.500000000000000611e-02,2.330615917932395860e+02,-1.253271835434428358e+05
8.999999999999999667e-02,2.455942641734229426e+02,-1.253261588966677227e+05
9.500000000000000111e-02,2.581268235725731301e+02,-1.253249015981539560e+05
1.000000000000000056e-01,2.706592444930537340e+02,-1.253233626680227462e+05
1.049999999999999961e-01,2.831914961061776808e+02,-1.253214837160459138e+05
1.100000000000000006e-01,2.957235412362629177e+02,-1.253191953329292155e+05
1.150000000000000050e-01,3.082553351727635231e+02,-1.253164152479760523e+05
1.199999999999999956e-01,3.207868242858581311e+02,-1.253130462272909353e+05
1.250000000000000000e-01,3.333179444182217139e+02,-1.253089736853422655e+05
1.300000000000000044e-01,3.458486190229265844e+02,-1.253040629815998691e+05
1.350000000000000089e-01,3.583787570145416908e+02,-1.252981563731563510e+05
1.400000000000000133e-01,3.709082502975578564e+02,-1.252910695938322751e+05
1.449999999999999900e-01,3.834369709333081460e+02,-1.252825880303419108e+05
1.499999999999999944e-01,3.959647679036262389e+02,-1.252724624667314347e+05
1.549999999999999989e-01,4.084914634266544340e+02,-1.252604043696371082e+05
1.600000000000000033e-01,4.210168487775536619e+02,-1.252460806890238018e+05
1.650000000000000078e-01,4.335406795644591966e+02,-1.252291081520704029e+05
1.700000000000000122e-01,4.460626704079677438e+02,-1.252090470318813750e+05
1.750000000000000167e-01,4.585824889708354704e+02,-1.251853943778246467e+05
1.799999999999999933e-01,4.710997492835326739e+02,-1.251575767006158858e+05
1.849999999999999978e-01,4.836140043109586486e+02,-1.251249421128798567e+05
1.900000000000000022e-01,4.961247377061086468e+02,-1.250867519348920905e+05
1.950000000000000067e-01,5.086313546979370699e+02,-1.250421717855695460e+05
2.000000000000000111e-01,5.211331720632225597e+02,-1.249902621905951528e+05
2.050000000000000155e-01,5.336294071360561020e+02,-1.249299687527758360e+05
2.099999999999999922e-01,5.461191658137777267e+02,-1.248601119443452480e+05
2.149999999999999967e-01,5.586014295249251518e+02,-1.247793765968265216e+05
2.200000000000000011e-01,5.710750411331430314e+02,-1.246863011811262841e+05
2.250000000000000056e-01,5.835386897611504082e+02,-1.245792669885952346e+05
2.300000000000000100e-01,5.959908945308620787e+02,-1.244564873425969126e+05
2.350000000000000144e-01,6.084299872296697913e+02,-1.243159969894077221e+05
2.399999999999999911e-01,6.208540939287436231e+02,-1.241556418366997095e+05
2.449999999999999956e-01,6.332611155970097343e+02,-1.239730692269978317e+05
2.500000000000000000e-01,6.456487077741431904e+02,-1.237657189519524109e+05
2.550000000000000044e-01,6.580142593874002159e+02,-1.235308152305185504e+05
2.600000000000000089e-01,6.703548708202469015e+02,-1.232653598896195035e+05
2.650000000000000133e-01,6.826673313653241166e+02,-1.229661269990685978e+05
2.700000000000000178e-01,6.949480962200606200e+02,-1.226296592228197842e+05
2.750000000000000222e-01,7.071932632098880731e+02,-1.222522661553773505e+05
2.800000000000000266e-01,7.193985494511360912e+02,-1.218300249148882140e+05
2.850000000000000311e-01,7.315592681928657157e+02,-1.213587832624307339e+05
2.899999999999999800e-01,7.436703061036222380e+02,-1.208341655097734765e+05
2.949999999999999845e-01,7.557261012948204097e+02,-1.202515814649598324e+05
2.999999999999999889e-01,7.677206223966142034e+02,-1.196062386460192793e+05
3.049999999999999933e-01,7.796473490240242654e+02,-1.188931579676540132e+05
3.099999999999999978e-01,7.914992539901450073e+02,-1.181071930736931099e+05
3.150000000000000022e-01,8.032687876387628876e+02,-1.172430534493673767e+05
3.200000000000000067e-01,8.149478646800184833e+02,-1.162953314021706319e+05
3.250000000000000111e-01,8.265278539191970140e+02,-1.152585329484730901e+05
3.300000000000000155e-01,8.379995712697131012e+02,-1.141271125855627179e+05
3.350000000000000200e-01,8.493532764363095566e+02,-1.128955118660655862e+05
3.400000000000000244e-01,8.605786736429262191e+02,-1.115582016244923143e+05
3.450000000000000289e-01,8.716649167612080191e+02,-1.101097276349895546e+05
3.500000000000000333e-01,8.826006191699241299e+02,-1.085447594063640572e+05
3.549999999999999822e-01,8.933738686424808293e+02,-1.068581417464366677e+05
3.599999999999999867e-01,9.039722475192114644e+02,-1.050449486541822407e+05
3.649999999999999911e-01,9.143828583733172763e+02,-1.031005390265266906e+05
3.699999999999999956e-01,9.245923553245168023e+02,-1.010206135986908339e+05
3.750000000000000000e-01,9.345869810930554422e+02,-9.880127247431516298e+04
3.800000000000000044e-01,9.443526098193798362e+02,-9.643907254597025167e+04
3.850000000000000089e-01,9.538747956022494918e+02,-9.393108405963971745e+04
3.900000000000000133e-01,9.631388266313077793e+02,-9.127494554002340010e+04
3.950000000000000178e-01,9.721297847102541709e+02,-8.846891626840317622e+04
4.000000000000000222e-01,9.808326098849884147e+02,-8.551192549267511640e+04
4.050000000000000266e-01,9.892321698087891946e+02,-8.240361755093658576e+04
4.100000000000000311e-01,9.973133333951757322e+02,-7.914439210662465484e+04
4.150000000000000355e-01,1.005061048230114125e+03,-7.573543872505638865e+04
4.199999999999999845e-01,1.012460421140187009e+03,-7.217876506845925178e+04
4.249999999999999889e-01,1.019496801243805976e+03,-6.847721804913134838e+04
4.299999999999999933e-01,1.026155864750013279e+03,-6.463449735760946351e+04
4.349999999999999978e-01,1.032423700715327868e+03,-6.065516087377772783e+04
4.400000000000000022e-01,1.038286896924768826e+03,-5.654462157247735013e+04
4.450000000000000067e-01,1.043732625029823339e+03,-5.230913564979232615e+04
4.500000000000000111e-01,1.048748724054727290e+03,-4.795578171988722897e+04
4.550000000000000155e-01,1.053323781373800784e+03,-4.349243106278550113e+04
4.600000000000000200e-01,1.057447210267284390e+03,-3.892770903857922531e+04
4.650000000000000244e-01,1.061109323181516629e+03,-3.427094792047909868e+04
4.700000000000000289e-01,1.064301399851380211e+03,-2.953213153519413754e+04
4.750000000000000333e-01,1.067015749488555457e+03,-2.472183223169395205e+04
4.799999999999999822e-01,1.069245766297719001e+03,-1.985114082557288202e+04
4.849999999999999867e-01,1.070985977653670034e+03,-1.493159028343370665e+04
4.899999999999999911e-01,1.072232084354405742e+03,-9.975074017406768689e+03
4.949999999999999956e-01,1.072980992457151387e+03,-4.993759751806692293e+03
5.000000000000000000e-01,1.073230836304767081e+03,-1.136868377216160297e-09
5.050000000000000044e-01,1.072980992457151615e+03,4.993759751806692293e+03
5.100000000000000089e-01,1.072232084354405742e+03,9.975074017409042426e+03
5.150000000000000133e-01,1.070985977653669806e+03,1.493159028343484351e+04
5.200000000000000178e-01,1.069245766297718774e+03,1.985114082557402071e+04
5.250000000000000222e-01,1.067015749488555002e+03,2.472183223169508710e+04
5.300000000000000266e-01,1.064301399851379756e+03,2.953213153519300249e+04
5.350000000000000311e-01,1.061109323181516402e+03,3.427094792047682859e+04
5.400000000000000355e-01,1.057447210267284390e+03,3.892770903857581288e+04
5.450000000000000400e-01,1.053323781373801239e+03,4.349243106278095365e+04
5.500000000000000444e-01,1.048748724054728200e+03,4.795578171988381655e+04
5.550000000000000488e-01,1.043732625029824476e+03,5.230913564978777868e+04
5.600000000000000533e-01,1.038286896924770645e+03,5.654462157247166760e+04
5.650000000000000577e-01,1.032423700715330142e+03,6.065516087377318763e+04
5.700000000000000622e-01,1.026155864750016008e+03,6.463449735760491603e+04
5.750000000000000666e-01,1.019496801243809159e+03,6.847721804912680818e+04
5.799999999999999600e-01,1.012460421140190647e+03,7.217876506845471158e+04
5.849999999999999645e-01,1.005061048230118217e+03,7.573543872505296895e+04
5.899999999999999689e-01,9.973133333951800523e+02,7.914439210662180267e+04
5.949999999999999734e-01,9.892321698087938557e+02,8.240361755093431566e+04
5.999999999999999778e-01,9.808326098849931896e+02,8.551192549267511640e+04
6.049999999999999822e-01,9.721297847102588321e+02,8.846891626840317622e+04
6.099999999999999867e-01,9.631388266313125541e+02,9.127494554002340010e+04
6.149999999999999911e-01,9.538747956022541530e+02,9.393108405964028498e+04
6.199999999999999956e-01,9.443526098193844973e+02,9.643907254596968414e+04
6.250000000000000000e-01,9.345869810930602171e+02,9.880127247431402793e+04
6.300000000000000044e-01,9.245923553245216908e+02,1.010206135986908339e+05
6.350000000000000089e-01,9.143828583733220512e+02,1.031005390265272581e+05
6.400000000000000133e-01,9.039722475192162392e+02,1.050449486541816732e+05
6.450000000000000178e-01,8.933738686424857178e+02,1.068581417464361002e+05
6.500000000000000222e-01,8.826006191699290184e+02,1.085447594063634751e+05
6.550000000000000266e-01,8.716649167612130213e+02,1.101097276349889871e+05
6.600000000000000311e-01,8.605786736429312214e+02,1.115582016244917468e+05
6.650000000000000355e-01,8.493532764363146725e+02,1.128955118660650187e+05
6.700000000000000400e-01,8.379995712697182171e+02,1.141271125855627179e+05
6.750000000000000444e-01,8.265278539192021299e+02,1.152585329484730901e+05
6.800000000000000488e-01,8.149478646800235992e+02,1.162953314021700644e+05
6.850000000000000533e-01,8.032687876387681172e+02,1.172430534493668092e+05
6.900000000000000577e-01,7.914992539901502369e+02,1.181071930736931099e+05
6.950000000000000622e-01,7.796473490240294950e+02,1.188931579676540132e+05
7.000000000000000666e-01,7.677206223966194329e+02,1.196062386460198468e+05
7.049999999999999600e-01,7.557261012948255257e+02,1.202515814649609674e+05
7.099999999999999645e-01,7.436703061036272402e+02,1.208341655097740440e+05
7.149999999999999689e-01,7.315592681928707179e+02,1.213587832624307339e+05
7.199999999999999734e-01,7.193985494511410934e+02,1.218300249148887815e+05
7.249999999999999778e-01,7.071932632098929616e+02,1.222522661553784856e+05
7.299999999999999822e-01,6.949480962200653948e+02,1.226296592228209192e+05
7.349999999999999867e-01,6.826673313653287778e+02,1.229661269990691653e+05
7.399999999999999911e-01,6.703548708202515627e+02,1.232653598896183685e+05
7.449999999999999956e-01,6.580142593874051045e+02,1.235308152305162803e+05
7.500000000000000000e-01,6.456487077741483063e+02,1.237657189519501408e+05
7.550000000000000044e-01,6.332611155970150776e+02,1.239730692269955616e+05
7.600000000000000089e-01,6.208540939287491938e+02,1.241556418366980070e+05
7.650000000000000133e-01,6.084299872296754756e+02,1.243159969894060196e+05
7.700000000000000178e-01,5.959908945308679904e+02,1.244564873425952101e+05
7.750000000000000222e-01,5.835386897611564336e+02,1.245792669885935320e+05
7.800000000000000266e-01,5.710750411331492842e+02,1.246863011811245815e+05
7.850000000000000311e-01,5.586014295249315182e+02,1.247793765968253865e+05
7.900000000000000355e-01,5.461191658137842069e+02,1.248601119443446805e+05
7.950000000000000400e-01,5.336294071360625821e+02,1.249299687527752685e+05
8.000000000000000444e-01,5.211331720632291535e+02,1.249902621905943088e+05
8.050000000000000488e-01,5.086313546979437206e+02,1.250421717855687166e+05
8.100000000000000533e-01,4.961247377061154111e+02,1.250867519348912465e+05
8.150000000000000577e-01,4.836140043109654698e+02,1.251249421128798567e+05
8.200000000000000622e-01,4.710997492835394382e+02,1.251575767006170354e+05
8.250000000000000666e-01,4.585824889708420642e+02,1.251853943778266257e+05
8.300000000000000711e-01,4.460626704079741103e+02,1.252090470318836451e+05
8.349999999999999645e-01,4.335406795644653357e+02,1.252291081520729640e+05
8.399999999999999689e-01,4.210168487775595167e+02,1.252460806890263775e+05
8.449999999999999734e-01,4.084914634266600615e+02,1.252604043696393783e+05
8.499999999999999778e-01,3.959647679036316390e+02,1.252724624667334137e+05
8.549999999999999822e-01,3.834369709333133756e+02,1.252825880303438898e+05
8.599999999999999867e-01,3.709082502975628586e+02,1.252910695938339777e+05
8.649999999999999911e-01,3.583787570145465793e+02,1.252981563731574861e+05
8.699999999999999956e-01,3.458486190229313593e+02,1.253040629816010041e+05
8.750000000000000000e-01,3.333179444182263751e+02,1.253089736853431095e+05
8.800000000000000044e-01,3.207868242858627355e+02,1.253130462272918085e+05
8.850000000000000089e-01,3.082553351727680138e+02,1.253164152479769255e+05
8.900000000000000133e-01,2.957235412362673515e+02,1.253191953329303506e+05
8.950000000000000178e-01,2.831914961061819440e+02,1.253214837160476309e+05
9.000000000000000222e-01,2.706592444930578267e+02,1.253233626680247398e+05
9.050000000000000266e-01,2.581268235725769955e+02,1.253249015981557895e+05
9.100000000000000311e-01,2.455942641734266658e+02,1.253261588966692943e+05
9.150000000000000355e-01,2.330615917932431387e+02,1.253271835434443783e+05
9.200000000000000400e-01,2.205288274647377875e+02,1.253280165074376273e+05
9.250000000000000444e-01,2.079959884917556110e+02,1.253286919595348008e+05
9.300000000000000488e-01,1.954630890728308259e+02,1.253292383198603784e+05
9.350000000000000533e-01,1.829301408277835321e+02,1.253296791588822089e+05
9.400000000000000577e-01,1.703971532410543830e+02,1.253300339699659089e+05
9.450000000000000622e-01,1.578641340337903500e+02,1.253303188293946732e+05
9.500000000000000666e-01,1.453310894751754461e+02,1.253305469582873920e+05
9.550000000000000711e-01,1.327980246421328729e+02,1.253307291993580584e+05
9.599999999999999645e-01,1.202649436353038368e+02,1.253308744200478541e+05
9.649999999999999689e-01,1.077318497581233032e+02,1.253309898522557196e+05
9.699999999999999734e-01,9.519874566485269440e+01,1.253310813776861614e+05
9.749999999999999778e-01,8.266563348258607391e+01,1.253311537667277444e+05
9.799999999999999822e-01,7.013251491150714401e+01,1.253312108777775138e+05
9.849999999999999867e-01,5.759939130703057231e+01,1.253312558230199502e+05
9.899999999999999911e-01,4.506626374690315373e+01,1.253312911058635509e+05
9.949999999999999956e-01,3.253313308585786245e+01,1.253313187345157785e+05
1.000000000000000000e+00,2.000000000000000000e+01,1.253313308585786144e+05
